artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Flume Featuring Kai,flume,flume,1,Never Be Like You,never+be+like+you,neverbelikeyou,2016
The Weeknd,the+weeknd,theweeknd,0,In The Night,in+the+night,inthenight,2016
Meghan Trainor,meghan+trainor,meghantrainor,0,Me Too,me+too,metoo,2016
Elle King,elle+king,elleking,0,Ex's & Oh's,ex's+&+oh's,ex's&oh's,2016
Thomas Rhett,thomas+rhett,thomasrhett,0,Die A Happy Man,die+a+happy+man,dieahappyman,2016
Post Malone,post+malone,postmalone,0,White Iverson,white+iverson,whiteiverson,2016
Nick Jonas Featuring Tove Lo,nick+jonas,nickjonas,1,Close,close,close,2016
X Ambassadors,x+ambassadors,xambassadors,0,Unsteady,unsteady,unsteady,2016
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors","lil+wayne,+wiz+khalifa","lilwayne,wizkhalifa",1,Sucker For Pain,sucker+for+pain,suckerforpain,2016
Yo Gotti Featuring Nicki Minaj,yo+gotti,yogotti,1,Down In The DM,down+in+the+dm,downinthedm,2016
Tory Lanez,tory+lanez,torylanez,0,Luv,luv,luv,2016
Beyonce,beyonce,beyonce,0,Sorry,sorry,sorry,2016
The Weeknd,the+weeknd,theweeknd,0,Can't Feel My Face,can't+feel+my+face,can'tfeelmyface,2016
Coldplay,coldplay,coldplay,0,Hymn For The Weekend,hymn+for+the+weekend,hymnfortheweekend,2016
Tory Lanez,tory+lanez,torylanez,0,Say It,say+it,sayit,2016
Travis Scott,travis+scott,travisscott,0,Antidote,antidote,antidote,2016
Ruth B,ruth+b,ruthb,0,Lost Boy,lost+boy,lostboy,2016
Ariana Grande Featuring Nicki Minaj,ariana+grande,arianagrande,1,Side To Side,side+to+side,sidetoside,2016
Daya,daya,daya,0,"Sit Still, Look Pretty","sit+still,+look+pretty","sitstill,lookpretty",2016
Taylor Swift,taylor+swift,taylorswift,0,Wildest Dreams,wildest+dreams,wildestdreams,2016
DJ Snake Featuring Bipolar Sunshine,dj+snake,djsnake,1,Middle,middle,middle,2016
Ellie Goulding,ellie+goulding,elliegoulding,0,On My Mind,on+my+mind,onmymind,2016
